,Unnamed: 0,summoner_a,summoner_b,position,win_rate,lane_kill_rate,kda,kill_participate,damage
0,0,亞歷斯塔,加里歐,4,0.4242,0.4534,0.4769230769230769,0.4698937426210154,
1,1,亞歷斯塔,卡瑪,4,0.4803,0.4527000000000001,0.4723809523809524,0.4504830917874396,
2,2,亞歷斯塔,塔里克,4,0.5208,0.4456,0.4771126760563381,0.5028835063437139,
3,3,亞歷斯塔,墨菲特,4,0.4907,0.5206000000000001,0.5666003976143141,0.472706155632985,
4,4,亞歷斯塔,姍娜,4,0.4709,0.5819,0.4723247232472325,0.44479495268138797,
5,5,亞歷斯塔,威寇茲,4,0.4854,0.5217,0.4891304347826088,0.4692218350754936,
6,6,亞歷斯塔,娜米,4,0.5597,0.5879,0.46371681415929206,0.4676339285714286,
7,7,亞歷斯塔,巴德,4,0.4825,0.5175,0.4182509505703423,0.4372881355932204,
8,8,亞歷斯塔,布蘭德,4,0.48,0.5390999999999999,0.5412844036697249,0.4555555555555556,
9,9,亞歷斯塔,布郎姆,4,0.5204,0.4821,0.4616788321167882,0.5204081632653061,
10,10,亞歷斯塔,布里茨,4,0.5033,0.3947,0.4764705882352942,0.4965675057208238,
11,11,亞歷斯塔,弗力貝爾,4,0.5441,0.4019,0.5403726708074534,0.4856828193832599,
12,12,亞歷斯塔,悠咪,4,0.5089,0.5097,0.4116809116809117,0.4839424141749723,
13,13,亞歷斯塔,慎,4,0.5714,0.4933,0.500854700854701,0.4786069651741294,
14,14,亞歷斯塔,拉克絲,4,0.5136000000000001,0.523,0.4735812133072407,0.44943820224719105,
15,15,亞歷斯塔,斯溫,4,0.5108,0.4277,0.4940944881889763,0.4478079331941545,
16,16,亞歷斯塔,枷蘿,4,0.512,0.5294,0.5375,0.4804733727810651,
17,17,亞歷斯塔,極靈,4,0.5163,0.6468,0.5045045045045045,0.4692671394799055,
18,18,亞歷斯塔,波比,4,0.6667000000000001,0.4944,0.5916030534351145,0.495114006514658,
19,19,亞歷斯塔,派克,4,0.5374,0.4505,0.511482254697286,0.473568281938326,
20,20,亞歷斯塔,潘森,4,0.5507,0.4787,0.5664621676891615,0.4812889812889813,
21,21,亞歷斯塔,珍娜,4,0.4326,0.5196999999999999,0.4098360655737705,0.44993819530284296,
22,22,亞歷斯塔,瑟雷西,4,0.5184000000000001,0.4648,0.4772727272727274,0.4853932584269664,
23,23,亞歷斯塔,納帝魯斯,4,0.5534,0.4458,0.5335968379446641,0.5033557046979865,
24,24,亞歷斯塔,索娜,4,0.4681,0.6331,0.4923371647509578,0.4576612903225807,
25,25,亞歷斯塔,索拉卡,4,0.4008,0.5682,0.4635036496350365,0.5726375176304654,
26,26,亞歷斯塔,維迦,4,0.6667000000000001,0.5234000000000001,0.5786163522012578,0.4953751284686536,
27,27,亞歷斯塔,茂凱,4,0.5102,0.57,0.5577689243027889,0.5317848410757946,
28,28,亞歷斯塔,薩科,4,0.486,0.4934000000000001,0.43726937269372695,0.4501679731243001,
29,29,亞歷斯塔,賽特,4,0.5515,0.4244,0.5819672131147541,0.5106861642294712,
30,30,亞歷斯塔,銳空,4,0.5652,0.4956,0.4688026981450253,0.5317258883248731,
31,31,亞歷斯塔,雷歐娜,4,0.5056,0.4621,0.5185185185185185,0.5122807017543859,
32,32,亞歷斯塔,露璐,4,0.4807,0.4908,0.4325259515570935,0.4722222222222223,
33,33,亞歷斯塔,魔甘娜,4,0.539,0.4738,0.4834307992202729,0.4590542099192618,
34,34,亞歷斯塔,齊勒斯,4,0.4549,0.4717,0.4654832347140039,0.4649890590809628,
35,35,伊澤瑞爾,伊瑞莉雅,2,0.5577000000000001,0.32770000000000005,0.529816513761468,0.5036880927291886,0.5886016681547943
36,36,伊澤瑞爾,加里歐,2,0.5965,0.6562,0.5055970149253732,0.4734151329243354,0.6294450230620443
37,37,伊澤瑞爾,劫,2,0.3803,0.3488,0.38497652582159625,0.44404332129963897,0.493679060179321
38,38,伊澤瑞爾,勒布朗,2,0.4545,0.4882,0.3715498938428875,0.4570446735395189,0.5366721337984245
